UserID,Gender,Age,Occupation,ZipCode,RatingCount,AvgRating,StdRating,RatingRange,AgeGroup,Occupation_0,Occupation_1,Occupation_2,Occupation_3,Occupation_4,Occupation_5,Occupation_6,Occupation_7,Occupation_8,Occupation_9,Occupation_10,Occupation_11,Occupation_12,Occupation_13,Occupation_14,Occupation_15,Occupation_16,Occupation_17,Occupation_18,Occupation_19,Occupation_20,GenderMale
1,F,1,10,48067,53,4.188679,0.6809666,2.0,<18,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
2,M,56,16,70072,129,3.7131784,1.0015129,4.0,50+,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
3,M,25,15,55117,51,3.9019608,0.9849853,4.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
4,M,45,7,02460,21,4.1904764,1.0779169,4.0,35-45,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
5,M,25,20,55455,198,3.1464646,1.1326994,4.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
6,F,50,9,55117,71,3.9014084,0.8307472,4.0,45-50,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
7,M,35,1,06810,31,4.322581,0.7477565,2.0,25-35,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
8,M,25,12,11413,139,3.884892,0.9253212,3.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
9,M,25,17,61614,106,3.7358491,0.8200103,3.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
10,F,35,1,95370,401,4.114713,0.8377398,3.0,25-35,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
11,F,25,1,04093,137,3.2773724,1.3489099,4.0,18-25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
12,M,25,12,32793,23,3.826087,1.1140497,4.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
13,M,45,1,93304,108,3.3888888,0.79523504,4.0,35-45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
14,M,35,0,60126,25,3.32,1.4059398,4.0,25-35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
15,M,25,7,22903,201,3.323383,0.82456076,4.0,18-25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
16,F,35,0,20670,35,3.0285714,1.248192,4.0,25-35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
17,M,50,1,95350,211,4.0758295,0.8129509,3.0,45-50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
18,F,18,3,95825,305,3.6491804,1.361431,4.0,<18,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
19,M,1,10,48073,255,3.572549,1.0838976,4.0,<18,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
20,M,25,14,55113,24,4.0833335,0.82970226,3.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
21,M,18,16,99353,22,2.909091,1.4111491,4.0,<18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
22,M,18,15,53706,297,3.0673401,1.0145116,4.0,<18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
23,M,35,0,90049,304,3.3157895,1.0239447,4.0,25-35,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
24,F,25,7,10023,136,3.9485295,0.828384,4.0,18-25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
25,M,18,4,01609,85,3.7411764,1.1035974,4.0,<18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
26,M,25,7,23112,400,2.96,1.0325043,4.0,18-25,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
27,M,25,11,19130,70,4.1714287,1.1791846,4.0,18-25,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
28,F,25,1,14607,107,3.7570093,0.85606736,3.0,18-25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
29,M,35,7,33407,108,3.5833333,1.0512565,4.0,25-35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
30,F,35,7,19143,43,3.488372,0.93534034,3.0,25-35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0
31,M,56,7,06840,119,3.7310925,1.0226045,4.0,50+,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
32,F,25,0,19355,48,3.625,1.0026561,4.0,18-25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
33,M,45,3,55421,391,3.4987211,1.025007,4.0,35-45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
34,F,18,0,02135,164,3.8658535,1.0539112,4.0,<18,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
35,M,45,1,02482,198,3.540404,1.0499619,4.0,35-45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
36,M,25,3,94123,351,4.19943,0.7709732,4.0,18-25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
37,F,25,9,66212,53,3.6981132,1.4621494,4.0,18-25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
38,F,18,4,02215,100,3.58,0.81872034,4.0,<18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
39,M,18,4,61820,62,3.564516,1.2495372,4.0,<18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
40,M,45,0,10543,96,3.4479167,1.13202,4.0,35-45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
41,F,18,4,15116,25,3.48,1.5842979,4.0,<18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
42,M,25,8,24502,231,3.7402596,0.7644708,4.0,18-25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
43,M,25,12,60614,24,4.125,0.94696313,4.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
44,M,45,17,98052,193,3.6321244,1.1921637,4.0,35-45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
45,F,45,16,94110,297,2.946128,1.1167309,4.0,35-45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
46,M,18,19,75602,41,4.219512,1.6048707,4.0,<18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
47,M,18,4,94305,22,3.909091,0.75018036,3.0,<18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
48,M,25,4,92107,598,3.0685618,0.8166904,4.0,18-25,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
49,M,18,12,77084,108,3.7129629,0.8652257,4.0,<18,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
50,F,25,2,98133,43,3.0697675,0.8835898,4.0,18-25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
51,F,1,10,10562,40,3.825,0.930605,4.0,<18,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
52,M,18,4,72212,79,3.556962,1.106471,4.0,<18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
53,M,25,0,96931,684,4.236842,0.94631255,4.0,18-25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
54,M,50,1,56723,40,4.025,0.76753014,3.0,45-50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
55,F,35,12,55303,25,4.12,0.8326664,2.0,25-35,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
56,M,35,20,60440,67,3.9701493,1.1543088,4.0,25-35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
57,M,18,19,30350,64,2.90625,1.4333749,4.0,<18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
58,M,25,2,30303,437,3.9725401,0.98575926,4.0,18-25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
59,F,50,1,55413,213,3.4741783,0.83300996,4.0,45-50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
60,M,50,1,72118,70,3.4142857,1.3458779,4.0,45-50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
61,M,25,17,95122,36,2.7777777,1.0450184,3.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
62,F,35,3,98105,498,3.566265,0.84671605,4.0,25-35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
63,M,18,4,54902,98,3.4285715,1.2518028,4.0,<18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
64,M,18,1,53706,27,4.148148,0.8639669,3.0,<18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
65,M,35,12,55803,121,4.3471074,0.813539,4.0,25-35,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1
66,M,25,18,57706,26,3.8461537,1.4336612,4.0,18-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
67,F,50,5,60181,64,4.296875,0.81024563,3.0,45-50,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
